Date,Adj Close,Open,High,Low,Close,Volume
2011-10-11,7618.5,7766.39,7845.64,7750.54,7782.24,935705
2011-10-12,7587.47,7750.54,7782.24,7734.69,7750.54,1412623
2011-10-13,7665.05,7702.99,7829.79,7702.99,7829.79,1151609
2011-10-14,7758.15,7845.64,7924.89,7845.64,7924.89,995905
2011-10-17,7649.54,7829.79,7877.34,7813.94,7813.94,1926700
2011-10-18,7602.99,7782.24,7798.09,7750.54,7766.39,1000565
2011-10-19,7571.95,7782.24,7782.24,7718.84,7734.69,1753961
2011-10-20,7556.44,7687.14,7750.54,7687.14,7718.84,1168645
2011-10-21,7696.08,7702.99,7861.49,7687.14,7861.49,2764697
2011-10-24,7494.37,7861.49,7861.49,7655.45,7655.45,1398305
2011-10-25,7401.27,7623.75,7639.6,7560.35,7560.35,1530481
2011-10-26,7525.4,7528.65,7813.94,7528.65,7687.14,1736920
2011-10-27,7525.4,7607.9,7702.99,7607.9,7687.14,1525439
2011-10-28,7758.15,7766.39,7924.89,7687.14,7924.89,1862033
2011-10-31,7680.57,8083.39,8083.39,7845.64,7845.64,2585637
2011-11-01,7618.5,7861.49,7861.49,7782.24,7782.24,1103535
2011-11-02,7711.6,7782.24,7909.04,7766.39,7877.34,1959065
2011-11-03,7649.54,7877.34,7877.34,7766.39,7813.94,1487641
2011-11-04,7742.63,7813.94,7924.89,7813.94,7909.04,2265568
2011-11-07,7727.12,7909.04,7924.89,7845.64,7893.19,1910232
2011-11-08,7602.99,7893.19,7893.19,7734.69,7766.39,679802
2011-11-09,7571.95,7829.79,7829.79,7734.69,7734.69,710213
2011-11-10,7571.95,7702.99,7734.69,7687.14,7734.69,1087198
2011-11-11,7540.92,7718.84,7750.54,7702.99,7702.99,1423605
2011-11-14,7447.82,7592.05,7687.14,7592.05,7607.9,752427
2011-11-15,7370.24,7607.9,7623.75,7528.65,7528.65,1725941
2011-11-16,7447.82,7496.95,7607.9,7496.95,7607.9,1107317
2011-11-17,7478.86,7607.9,7639.6,7560.35,7639.6,1502598
2011-11-18,7478.86,7687.14,7687.14,7576.2,7639.6,464537
2011-11-21,7478.86,7592.05,7639.6,7592.05,7639.6,593058
2011-11-22,7540.92,7623.75,7734.69,7607.9,7702.99,1143727
2011-11-23,7618.5,7655.45,7782.24,7655.45,7782.24,1854207
